Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Les mains de mon père - T,Les mains de mon père - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,Je trouve mon inspiration qui nourrit cette confession
Les mains de mon père - T,Les mains de mon père - T-62,   61| 1| 000,   63| 1| 000,    2| 0| 000,"Dans les mains de mon père, dans les yeux de son père"
Les mains de mon père - T,Les mains de mon père - T-64,   63| 1| 000,   65| 1| 000,    2| 0| 000,"Dans les mains de mon père, dans les yeux de son père,"
Les mains de mon père - T,Les mains de mon père - T-66,   65| 1| 000,   67| 1| 000,    2| 0| 000,"Je sens le poids de leur histoire, qui donne un sens à mes devoirs"
Les mains de mon père - T,Les mains de mon père - T-68,   67| 1| 000,   69| 1| 000,    2| 0| 000,"Dans les mains de mon père, dans les yeux de son père,"
Les mains de mon père - T,Les mains de mon père - T-70,   69| 1| 000,   71| 1| 000,    2| 0| 000,"Dans le sens de la mémoire, dans les méandres de l’histoire"
Les mains de mon père - T,Les mains de mon père - T-72,   71| 1| 000,   73| 1| 000,    2| 0| 000,Dans les mains de mon père
Les mains de mon père - T,Les mains de mon père - T-74,   73| 1| 000,   75| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-76,   75| 1| 000,   77| 1| 000,    2| 0| 000,Dans les yeux de son père
Les mains de mon père - T,Les mains de mon père - T-78,   77| 1| 000,   79| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-80,   79| 1| 000,   81| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-82,   81| 1| 000,   83| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-84,   83| 1| 000,   85| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-86,   85| 1| 000,   87| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-88,   87| 1| 000,   89| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-89,   89| 1| 000,   90| 2| 853,    1| 1| 853,
